,Unnamed: 0,User_id,Type,Content_id,Url,Reply_to_content_id,Thread_id,Subforum,Title,Content,Timestamp,Search_Term,Matching_Word,Has_Other_Sentiment,Target_Sentence,Sentiment
60,428,757328,Post,['146474207'],https://forums.hardwarezone.com.sg/threads/serious-anyone-got-judged-before-for-cancelling-their-cdac-donations-every-month.6877437/,,6877437,Forums,[Serious] - Anyone got judged before for cancelling their CDAC donations every month?,"feel like cancelling, $3 every month can buy one packet of simple cai png, plus i don't know where my money is going to. what does edmw think? according to cdac latest financial statements: cdac audited report fy 2021 read cdac audited report fy 2021 by cdac on issuu and browse thousands of other publications on our platform. start here! issuu.com 20% of employees earn 100k and more on top of that, key management compensation amounts to more than 600k!!!!!!",2023/2/27 22:04,cdac,TRUE,FALSE, what does edmw think? according to $T$ latest financial statements: cdac audited report fy 2021 read cdac audited report fy 2021 by cdac on issuu and browse thousands of other publications on our platform,0
5,16,815074,Post,['145992640'],https://forums.hardwarezone.com.sg/threads/can-cdac-directors-oyk-sun-xl-koh-pk-chee-hong-tat-baey-yk-explain-why-pay-20-staff-100k-per-annum-paid-wif-1-donations-from-almost-all-sinkies.6866152/,,6866152,Forums,"Can CDAC directors OYK, Sun XL, Koh PK, Chee Hong Tat, Baey YK explain why pay 20 staff >$100k per annum paid wif$1 donations from almost all Sinkies?",cdac audited report fy 2021 read cdac audited report fy 2021 by cdac on issuu and browse thousands of other publications on our platform. start here! issuu.com thought cdac is to help the poor? how does paying $100k to the staff help the poor? and they get hundreds of thousands of sinkies to donate $1 each month to them by default? they collect 50 cents to a dollar from low income workers to pay their key staff $100-300k each year? thanks to @balian for highlighting.,2023/1/27 0:43,cdac,TRUE,FALSE,cdac audited report fy 2021 read $T$ audited report fy 2021 by cdac on issuu and browse thousands of other publications on our platform,0
57,428,757328,Post,['146474207'],https://forums.hardwarezone.com.sg/threads/serious-anyone-got-judged-before-for-cancelling-their-cdac-donations-every-month.6877437/,,6877437,Forums,[Serious] - Anyone got judged before for cancelling their CDAC donations every month?,"feel like cancelling, $3 every month can buy one packet of simple cai png, plus i don't know where my money is going to. what does edmw think? according to cdac latest financial statements: cdac audited report fy 2021 read cdac audited report fy 2021 by cdac on issuu and browse thousands of other publications on our platform. start here! issuu.com 20% of employees earn 100k and more on top of that, key management compensation amounts to more than 600k!!!!!!",2023/2/27 22:04,cdac,TRUE,FALSE, what does edmw think? according to $T$ latest financial statements: cdac audited report fy 2021 read cdac audited report fy 2021 by cdac on issuu and browse thousands of other publications on our platform,0
13,63,204542,Post,['146298050'],https://forums.hardwarezone.com.sg/threads/a-financial-burden-higher-cpf-salary-ceiling-will-add-to-businesses-woes-say-associations-and-experts.6873291/,,,Forums,,"singapore: the raising of the central provident fund (cpf) monthly salary ceiling will add to the woes of companies already grappling with increasing costs, said business associations and experts. while the phased increase by 2026 can help soothe the impact, some smaller firms will still feel an additional  financial burden , they added. the ceiling sets out the maximum amount of ordinary wages that can be used to compute cpf contributions. an example of an  ordinary wage  would be a monthly salary. this is currently set at s$6,000 and will go up in four stages to s$8,000 by 2026, as announced by deputy prime minister lawrence wong in his budget speech on tuesday (feb 14). the first increase to s$6,300 will kick in on sep 1 this year, before the next hike to s$6,800 in 2024. it will be raised again to s$7,400 in 2025 before reaching s$8,000 in 2026. the cpf annual salary ceiling, which takes into account additional wages such as a performance bonus, remains at s$102,000. currently, employees aged up to 55 years old contribute 20 per cent of their wages to their cpf, while employers contribute 17 per cent. the rise in the monthly salary ceiling essentially means that workers who earn more than s$6,000   and their employers   will have to contribute more to their cpf. the singapore business federation (sbf), which represents 27,000 companies, said the move will add to businesses' manpower costs. the pressures on this front are already piling up with the rise in foreign worker levies, local qualifying salaries and wage adjustments under the progressive wage model, it said.  sbf urges the government to consider spacing out some of these wage and manpower-related policies to help businesses survive immediate cost challenges,  said mr albert tsui, executive director of the federation's advocacy and policy division. beyond labour costs, businesses have also been paying more in other aspects of their operations ranging from logistics, raw materials to energy, said professor sumit agarwal from the national university of singapore (nus).  will this change cause a burden on employers? clearly it will because it s a tough time with rising costs and economic uncertainties,  said the professor of finance, economics and real estate at the nus business school. some businesses may have to pass on these costs to consumers, he added. deloitte singapore s tax partner yap hsien yew described the announcement as possibly being  a financial burden  for businesses, especially small- and medium-size enterprises (smes) which may not have the same access to cash flow and healthy profits as larger corporations. beyond financial metrics, the impact on smes will also differ depending on the industry. those that employ more higher-income workers will feel the heat, said the association of small and medium enterprises (asme). this group will likely involve smes in industries such as technology and professional services such as accounting and auditing.  in other sectors like retail, most of the workers employed by smes are between the salary range of s$2,500 to $$4,000, which means they will not be affected in the near term,  said the association's vice-president ang yuit. phased increase to cushion impact   the phased increase in the cpf monthly salary ceiling will help cushion the impact on employers, both asme and the singapore national employers federation (snef) said. this will allow employers to ""gradually adjust and factor this increase"" into their business costs against the backdrop of slower economic growth, rising costs and a tight labour market, added snef, which has more than 3,400 members. the cpf annual salary ceiling has also been left unchanged for now, said prof agarwal, noting that this will also mitigate the impact on businesses. mr christopher gee, a senior research fellow and head of the governance and economy department at the institute of policy studies, estimates that the change in the monthly salary ceiling, when fully implemented by 2026, will result in an increase of s$2 billion to s$2.5 billion in labour costs annually . this increase would need to be offset by productivity gains to ensure it is sustainable for businesses and their workers in the long run, he wrote in a commentary. deloitte's mr yap said employers should view the announcement as helping to build a more financially secure workforce, which ultimately benefits them in the long run.  while the increase may be a financial burden in the short term, it is an investment that businesses should consider in order to reap the long-term benefits of having a financially secure and experienced workforce,  he told cna. it was also announced in budget 2023 that the government will continue with the next increase in cpf contribution rates for older workers , following the first two steps of increases in 2022 and 2023. from next year, the total cpf contribution rates for workers aged 56 to 60 and 61 to 65 will go up by 1.5 percentage points to 31 per cent and 22 per cent, respectively. the contribution rate for workers aged 66 to 70 will rise by 1 percentage point to 16.5 per cent. to mitigate the rise in business costs, employers will get a one-year offset that is equivalent to half of the 2024 increase in employer contribution rates for every singaporean and permanent resident they employ aged 56 to 70. 'a financial burden': higher cpf salary ceiling will add to businesses' woes, say associations and experts the increase in the cpf salary ceiling means that those who earn more than s$6,000   and their employers   will soon have to contribute more towards their retirement savings. www.channelnewsasia.com",2023/2/16 10:42,central provident fund,TRUE,FALSE,"singapore: the raising of the $T$ (cpf) monthly salary ceiling will add to the woes of companies already grappling with increasing costs, said business associations and experts",-1
22,198,338874,Post,['146597589'],https://forums.hardwarezone.com.sg/threads/cpf-to-close-300-000-accounts-of-non-citizens-non-permanent-residents-from-april-2024.6880253,,6880253,Forums,"CPF to close 300,000 accounts of non-citizens, non-permanent residents from April 2024","cpf to close 300,000 accounts of non-citizens, non-permanent residents from april 2024  https://www.businesstimes.com.sg/singapore/cpf-close-300000-accounts-non-citizens-non-permanent-residents-april-2024 about 300,000 central provident fund (cpf) accounts belonging to non-singapore citizens and non-permanent residents will be automatically closed from apr 1, 2024. the cpf board on wednesday (mar 8) noted that most of these accounts have low balances, with more than two-thirds of the accounts holding less than s$5,000 each. owners of these accounts have received contributions from employers, or made voluntary contributions before 2003. they also include former singapore citizens and permanent residents who have since relinquished their citizenship or permanent residency status. account owners will have up until mar 31, 2024, to transfer their cpf savings to their personal bank accounts. remaining savings can still be transferred at any time after the accounts  automatic closures on apr 1, 2024, but will cease to earn the prevailing cpf interest rate. non-singapore citizen/permanent resident employees who wish to continue saving in singapore may consider options such as the supplementary retirement scheme, or other relevant commercial investment products, said the cpf board. the automatic closure of cpf accounts for all non-singapore citizens and permanent residents in 2024 comes as the  final step in ensuring that the cpf system focuses on its core objective of catering to the retirement, housing and healthcare needs of (existing) singapore citizens and permanent residents , said the cpf board.  the purpose of the cpf system is to help singapore citizens and permanent residents retire with a peace of mind. in line with this, cpf members who are not singapore citizens and permanent residents will have to close their cpf accounts.  prior to 1987, cpf contributions were mandatory for all employees working in singapore   including those who did not have singapore citizen and permanent resident status. the requirement was dropped in 1987, but non-singapore citizen/permanent resident employees working in singapore on work permits could opt to contribute to their cpf accounts on a voluntary basis. this was extended to non-singapore citizen/permanent resident employees working in singapore on all types of work passes, and not just work permit holders, from 1995. non-singapore citizen/permanent resident employees were disallowed from making voluntary contributions to their cpf accounts from 2003. previously, the cpf board told the business times that singapore citizens and permanent residents renouncing their citizenship or residency statuses were  strongly encouraged  to close their cpf accounts, as these members had no intention of retiring in singapore.",2023/3/8 12:29,central provident fund,TRUE,FALSE,"sg/singapore/cpf-close-300000-accounts-non-citizens-non-permanent-residents-april-2024 about 300,000 $T$ (cpf) accounts belonging to non-singapore citizens and non-permanent residents will be automatically closed from apr 1, 2024",0
126,683,338874,Post,['146597589'],https://forums.hardwarezone.com.sg/threads/cpf-to-close-300-000-accounts-of-non-citizens-non-permanent-residents-from-april-2024.6880253,,6880253,Forums,"CPF to close 300,000 accounts of non-citizens, non-permanent residents from April 2024","cpf to close 300,000 accounts of non-citizens, non-permanent residents from april 2024  https://www.businesstimes.com.sg/singapore/cpf-close-300000-accounts-non-citizens-non-permanent-residents-april-2024 about 300,000 central provident fund (cpf) accounts belonging to non-singapore citizens and non-permanent residents will be automatically closed from apr 1, 2024. the cpf board on wednesday (mar 8) noted that most of these accounts have low balances, with more than two-thirds of the accounts holding less than s$5,000 each. owners of these accounts have received contributions from employers, or made voluntary contributions before 2003. they also include former singapore citizens and permanent residents who have since relinquished their citizenship or permanent residency status. account owners will have up until mar 31, 2024, to transfer their cpf savings to their personal bank accounts. remaining savings can still be transferred at any time after the accounts  automatic closures on apr 1, 2024, but will cease to earn the prevailing cpf interest rate. non-singapore citizen/permanent resident employees who wish to continue saving in singapore may consider options such as the supplementary retirement scheme, or other relevant commercial investment products, said the cpf board. the automatic closure of cpf accounts for all non-singapore citizens and permanent residents in 2024 comes as the  final step in ensuring that the cpf system focuses on its core objective of catering to the retirement, housing and healthcare needs of (existing) singapore citizens and permanent residents , said the cpf board.  the purpose of the cpf system is to help singapore citizens and permanent residents retire with a peace of mind. in line with this, cpf members who are not singapore citizens and permanent residents will have to close their cpf accounts.  prior to 1987, cpf contributions were mandatory for all employees working in singapore   including those who did not have singapore citizen and permanent resident status. the requirement was dropped in 1987, but non-singapore citizen/permanent resident employees working in singapore on work permits could opt to contribute to their cpf accounts on a voluntary basis. this was extended to non-singapore citizen/permanent resident employees working in singapore on all types of work passes, and not just work permit holders, from 1995. non-singapore citizen/permanent resident employees were disallowed from making voluntary contributions to their cpf accounts from 2003. previously, the cpf board told the business times that singapore citizens and permanent residents renouncing their citizenship or residency statuses were  strongly encouraged  to close their cpf accounts, as these members had no intention of retiring in singapore.",2023/3/8 12:29,cpf,TRUE,FALSE," the automatic closure of $T$ accounts for all non-singapore citizens and permanent residents in 2024 comes as the  final step in ensuring that the cpf system focuses on its core objective of catering to the retirement, housing and healthcare needs of (existing) singapore citizens and permanent residents , said the cpf board",0
35,252,293209,Post,['144810416'],https://forums.hardwarezone.com.sg/threads/ocbc-offers-fixed-deposit-placements-for-cpf-ordinary-account-savings-at-3-4-a-year.6836093/,,6836093,Forums,OCBC offers fixed deposit placements for CPF ordinary account savings at 3.4% a year,https://www.businesstimes.com.sg/banking-finance/ocbc-offers-fixed-deposit-placements-for-cpf-ordinary-account-savings-at-34-a-year,2022/11/16 12:17,cpf,TRUE,FALSE,sg/banking-finance/ocbc-offers-fixed-deposit-placements-for-$T$-ordinary-account-savings-at-34-a-year,0
227,63,204542,Post,['146298050'],https://forums.hardwarezone.com.sg/threads/a-financial-burden-higher-cpf-salary-ceiling-will-add-to-businesses-woes-say-associations-and-experts.6873291/,,,Forums,,"singapore: the raising of the central provident fund (cpf) monthly salary ceiling will add to the woes of companies already grappling with increasing costs, said business associations and experts. while the phased increase by 2026 can help soothe the impact, some smaller firms will still feel an additional  financial burden , they added. the ceiling sets out the maximum amount of ordinary wages that can be used to compute cpf contributions. an example of an  ordinary wage  would be a monthly salary. this is currently set at s$6,000 and will go up in four stages to s$8,000 by 2026, as announced by deputy prime minister lawrence wong in his budget speech on tuesday (feb 14). the first increase to s$6,300 will kick in on sep 1 this year, before the next hike to s$6,800 in 2024. it will be raised again to s$7,400 in 2025 before reaching s$8,000 in 2026. the cpf annual salary ceiling, which takes into account additional wages such as a performance bonus, remains at s$102,000. currently, employees aged up to 55 years old contribute 20 per cent of their wages to their cpf, while employers contribute 17 per cent. the rise in the monthly salary ceiling essentially means that workers who earn more than s$6,000   and their employers   will have to contribute more to their cpf. the singapore business federation (sbf), which represents 27,000 companies, said the move will add to businesses' manpower costs. the pressures on this front are already piling up with the rise in foreign worker levies, local qualifying salaries and wage adjustments under the progressive wage model, it said.  sbf urges the government to consider spacing out some of these wage and manpower-related policies to help businesses survive immediate cost challenges,  said mr albert tsui, executive director of the federation's advocacy and policy division. beyond labour costs, businesses have also been paying more in other aspects of their operations ranging from logistics, raw materials to energy, said professor sumit agarwal from the national university of singapore (nus).  will this change cause a burden on employers? clearly it will because it s a tough time with rising costs and economic uncertainties,  said the professor of finance, economics and real estate at the nus business school. some businesses may have to pass on these costs to consumers, he added. deloitte singapore s tax partner yap hsien yew described the announcement as possibly being  a financial burden  for businesses, especially small- and medium-size enterprises (smes) which may not have the same access to cash flow and healthy profits as larger corporations. beyond financial metrics, the impact on smes will also differ depending on the industry. those that employ more higher-income workers will feel the heat, said the association of small and medium enterprises (asme). this group will likely involve smes in industries such as technology and professional services such as accounting and auditing.  in other sectors like retail, most of the workers employed by smes are between the salary range of s$2,500 to $$4,000, which means they will not be affected in the near term,  said the association's vice-president ang yuit. phased increase to cushion impact   the phased increase in the cpf monthly salary ceiling will help cushion the impact on employers, both asme and the singapore national employers federation (snef) said. this will allow employers to ""gradually adjust and factor this increase"" into their business costs against the backdrop of slower economic growth, rising costs and a tight labour market, added snef, which has more than 3,400 members. the cpf annual salary ceiling has also been left unchanged for now, said prof agarwal, noting that this will also mitigate the impact on businesses. mr christopher gee, a senior research fellow and head of the governance and economy department at the institute of policy studies, estimates that the change in the monthly salary ceiling, when fully implemented by 2026, will result in an increase of s$2 billion to s$2.5 billion in labour costs annually . this increase would need to be offset by productivity gains to ensure it is sustainable for businesses and their workers in the long run, he wrote in a commentary. deloitte's mr yap said employers should view the announcement as helping to build a more financially secure workforce, which ultimately benefits them in the long run.  while the increase may be a financial burden in the short term, it is an investment that businesses should consider in order to reap the long-term benefits of having a financially secure and experienced workforce,  he told cna. it was also announced in budget 2023 that the government will continue with the next increase in cpf contribution rates for older workers , following the first two steps of increases in 2022 and 2023. from next year, the total cpf contribution rates for workers aged 56 to 60 and 61 to 65 will go up by 1.5 percentage points to 31 per cent and 22 per cent, respectively. the contribution rate for workers aged 66 to 70 will rise by 1 percentage point to 16.5 per cent. to mitigate the rise in business costs, employers will get a one-year offset that is equivalent to half of the 2024 increase in employer contribution rates for every singaporean and permanent resident they employ aged 56 to 70. 'a financial burden': higher cpf salary ceiling will add to businesses' woes, say associations and experts the increase in the cpf salary ceiling means that those who earn more than s$6,000   and their employers   will soon have to contribute more towards their retirement savings. www.channelnewsasia.com",2023/2/16 10:42,cpf,TRUE,TRUE," it was also announced in budget 2023 that the government will continue with the next increase in $T$ contribution rates for older workers , following the first two steps of increases in 2022 and 2023",0
41,299,692655,Post,['145585321'],https://forums.hardwarezone.com.sg/threads/cpf-account-value-thread-2023.6856110,,6856110,Forums,CPF Account Value Thread 2023,it's time to showoff your cpf account value. with pictures.,2023/1/1 3:25,cpf,TRUE,FALSE,it's time to showoff your $T$ account value,1
233,220,338874,Post,['146405416'],https://forums.hardwarezone.com.sg/threads/commentary-singapore-residents-must-save-for-retirement-today-to-continue-enjoying-low-income-taxes.6875787/,,,Forums,,"commentary: singapore residents must save for retirement today to continue enjoying low income taxes  for direct taxes to remain low, singapore workers need to do more with their money to prepare for their future retirement, says david kuo of the smart investor. commentary: singapore residents must save for retirement today to continue enjoying low income taxes for direct taxes to remain low, singapore workers need to do more with their money to prepare for their future retirement, says david kuo of the smart investor. www.channelnewsasia.com singapore: the message from the budget 2023 speech could not have been clearer. it cannot be business as usual for singapore. over the last couple of decades, the country has benefited from global trade and finance flows. but with increased patriotism, protectionism and nationalism swirling around the world, singapore will have to work even harder to maintain its competitiveness. as the economy matures, retirement is an area that we should pay attention to. by 2030, which is just seven short years away, one in four singaporeans will be aged 65 or above, up from one in five. budget 2023 offers targeted support to singapore s growing pool of seniors . the eldercare fund will be topped up by s$500 million, and another s$1.5 billion will be added to the medifund. but just think about that for a moment. singapore expects a budget deficit of s$2 billion in the financial year (fy) of 2022, and a deficit of s$400 million in fy2023. those deficits would be almost erased if not for the subsidies provided to the elderly. that is another way of saying that there are no free lunches. if we want direct taxes to remain low, then we must be prepared to make provisions for our retirement, so we won t need government subsidies. ensuring our retirement adequacy  as singapore studies how else it can help seniors in community settings , there is plenty that singapore workers can do for themselves now. while the government has kept the rate of contributions to the central provident fund (cpf) unchanged, it will raise the monthly salary ceiling from s$6,000 to s$8,000 to reflect the rise in wages as a result of inflation . but this alone may not be enough for an ideal retirement for some individuals. if so, they will need to do more with their money to enjoy their twilight years. perhaps the single most important question we need to ask ourselves is how much money we realistically need to retire. this number varies greatly based on your needs and lifestyle. a 2019 lee kuan yew school of public policy study estimated that the minimum amount a senior needs for a basic standard of living in singapore is about s$1,400 a month. but considering that the median income per household member in singapore is about s$3,200 a month, which adds up to s$38,400 per year, let s work off a round figure of s$50,000 as the amount needed each retirement year. you can scale this up or down accordingly, but don t forget to factor in inflation. at an annual inflation rate of, say, 3 per cent, our s$50,000 target would be equivalent to s$100,000 in around 24 years  time. and in 48 years  time, it would need to be as much as $200,000. that, by the way, is not how much money we would need to have in our retirement pot. that is the income we would need to generate from our savings. because we don t know how long we will live, we do not want to draw down the pot and run the risk of exhausting it. taking into account the 4 per cent floor interest rate of the cpf special account , the nest egg required to generate an annual income of s$100,000 a year in 24 years  time is s$2.5 million. we should ask ourselves if our accumulated cpf contributions earning 2.5 per cent interest a year will be able to grow sufficiently to reach that target. if it is unlikely, we should invest some of our money into assets that can outpace the rate of rising prices. that generally means investing in shares. there is a limit as to how much our cpf money can be invested in the stock market. so, we may need to look beyond compulsory contributions and build another pot of money outside of cpf. the best time to do that is while we are young. indirect taxes prevail over direct taxes  budget 2023 also highlighted the government s commitment to low personal income tax with indirect taxes taking the brunt. stamp duties on high-end properties will rise. so too will taxes on luxury cars . we can argue about the benefits of indirect taxes versus direct taxes. in the case of the former, we pay taxes as we spend. in the case of the latter, the decision to spend is taken away from us through taxation. however, taxes on expensive cars and properties are unlikely to affect the mass affluent. the upshot is that raising taxes on these items can be a good way for the government to redistribute wealth. after all, that is one of the main reasons why we pay taxes. it is a means by which some wealth from those can afford it can be transferred to those who need it. setting aside money for the next crisis  there was another important message in the budget. while the pandemic has been funded by a necessary deficit, budgets must always be balanced over a business cycle. though singapore will not draw on its reserves in this year s budget, past deficits must eventually be replaced by future surpluses. what s more, singapore must continue to consciously build up its reserves to prepare for the next crisis. we need to do the same too. the government has provided singaporeans with the means to cope with inflationary pressures through voucher schemes . this should help ease some of the pain when we do our daily shopping. more importantly, it buys us time to set aside some money for a rainy day because wages are rising but income tax rates aren t. it is a window of opportunity that other developed economies have been unable to provide. but we need to fix our roofs when the sun is shining. it will be too late when thunderstorms hit. in summary, budget 2023 puts households firmly in the driving seat. the government is treating people as mature adults in a maturing economy. the country s finances are strong and should be even stronger over time. we too can make our household finances stronger over time by being prudent with our spending and preparing for future uncertainties. if we want our taxes to remain low, we need to do our part to ensure that it stays that way. david kuo is co-founder of the smart investor.",2023/2/23 9:09,cpf,TRUE,TRUE, we should ask ourselves if our accumulated $T$ contributions earning 2,-1
